OfferingName,ProductSkuName,Australia Central,Australia Central 2 *,Australia East,Australia Southeast,Austria East,Belgium Central,Brazil South,Brazil Southeast,Canada Central,Canada East,Central India,Central US,Chile Central,China East,China East 2,China East 3 *,China North,China North 2,China North 3,Denmark East,East Asia,East US,East US 2,East US 3,France Central,France South *,Germany North *,Germany West Central,Indonesia Central,Israel Central,Italy North,Japan East,Japan West,Korea Central,Korea South *,Malaysia West,Mexico Central,New Zealand North,Non Regional,North Central US,North Europe,Norway East,Norway West *,Poland Central,Qatar Central,South Africa North,South Africa West *,South Central US,South India,Southeast Asia,Spain Central,Sweden Central,Sweden South *,Switzerland North,Switzerland West *,Taiwan North **,UAE Central *,UAE North,UK South,UK West,USGov Arizona **,USGov Texas,USGov Virginia,West Central US,West Europe,West India *,West US,West US 2,West US 3
Azure Firewall,Azure Firewall Standard,GA,GA,GA,GA,,,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,,,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Azure Firewall Manager,Offer Coverage,GA,GA,GA,GA,,GA,GA,,GA,GA,GA,GA,,,GA,GA,,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Azure for Education,Offer Coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azure Front Door,Offer Coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azure Front Door,Azure Front Door Premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azure Front Door,Azure Front Door Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azure Grafana Service,Offer Coverage,,,GA,,,,GA,,GA,,GA,GA,,,,,,,GA,,GA,GA,GA,,GA,,,GA,,,GA,GA,,GA,,,,,,,GA,GA,,,,,,GA,,GA,,GA,,GA,,,,GA,GA,,GA,,GA,GA,GA,,GA,GA,GA
Azure Health AI Deidentification service,Offer Coverage,,,,,,,,,GA,,,,,,,,,,,,,GA,GA,,,,,,,,,,,,,,,,,,,,,,,,,GA,,,,,,,,,,,GA,,,,,,GA,,,GA,GA
Azure Health Data Services,Offer Coverage,,,GA,,,,GA,,GA,,GA,,,,,,,,,,GA,GA,GA,,GA,,GA,GA,,,,GA,GA,GA,,,,,,GA,GA,,,,GA,GA,,GA,,GA,,GA,,GA,,,,,GA,GA,GA,,GA,GA,GA,,,GA,GA
Azure Health Data Services,Azure API for FHIR,,,Closing Down,,,,Closing Down,,Closing Down,,Closing Down,,,,,,,,,,Closing Down,Closing Down,Closing Down,,Closing Down,,Closing Down,Closing Down,,,,Closing Down,Closing Down,Closing Down,,,,,,Closing Down,Closing Down,,,,,Closing Down,,Closing Down,,Closing Down,,Closing Down,,Closing Down,,,,,Closing Down,Closing Down,Closing Down,,Closing Down,Closing Down,Closing Down,,,Closing Down,Closing Down
Azure Health Data Services,Azure Health Data Services,,,GA,,,,GA,,GA,,GA,,,,,,,,,,,GA,GA,,GA,,,GA,,,,GA,,GA,,,,,,GA,GA,,,,GA,,,GA,,GA,,GA,,GA,,,,,GA,,,,,GA,GA,,,GA,GA
Azure HPC Cache,Offer Coverage,,,Closing Down,,,,,,Closing Down,,Closing Down,Closing Down,,,,,,,,,Closing Down,Closing Down,Closing Down,,,,,Closing Down,,,,,,Closing Down,,,,,,Closing Down,Closing Down,,,,,,,Closing Down,,Closing Down,,Closing Down,,,,,,,Closing Down,,,,,,Closing Down,,Closing Down,Closing Down,Closing Down
Azure Information Protection,Offer Coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azure Information Protection,Free,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azure Information Protection,Premium P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azure Information Protection,Premium P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azure IoT Operations,Offer Coverage,,,,,,,,,,,,,,,,,,,,,,GA,GA,,,,,GA,,,,,,,,,,,,,GA,,,,,,,GA,,,,,,,,,,,,,,,,,GA,,GA,GA,GA
Azure Kubernetes Fleet Manager,Offer Coverage,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,,GA,GA,,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA
Azure Kubernetes Service (AKS),Offer Coverage,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,,GA,GA,,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA
Azure Kubernetes Service enabled by Azure Arc,Offer Coverage,,,GA,,,,,,GA,,,,,,,,,,,,,GA,,,,,,,,,,GA,,,,,,,,,,,,,,,,,,GA,,,,,,,,,,,,,,,GA,,,,
Azure Kubernetes Service enabled by Azure Arc,AKS on HCI and Windows Server,,,,,,,,,,,,,,,,,,,,,,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azure Lab Services,Offer Coverage,Closing Down,Closing Down,Closing Down,Closing Down,,,Closing Down,,Closing Down,Closing Down,Closing Down,Closing Down,,,,,,,,,Closing Down,Closing Down,Closing Down,,Closing Down,Closing Down,,,,,,Closing Down,Closing Down,Closing Down,Closing Down,,,,,Closing Down,Closing Down,,,,,,,Closing Down,Closing Down,Closing Down,,,,,,,,,Closing Down,Closing Down,,,,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,
Azure Lab Services,Azure Lab Services V2,,,Closing Down,Closing Down,Closing Down,,Closing Down,,Closing Down,Closing Down,Closing Down,Closing Down,,,,,,,,,Closing Down,Closing Down,Closing Down,,Closing Down,,,Closing Down,,,,Closing Down,,Closing Down,,,,,,Closing Down,Closing Down,Closing Down,,,,Closing Down,,Closing Down,,Closing Down,,,,Closing Down,,,,Closing Down,Closing Down,Closing Down,,,,Closing Down,Closing Down,,Closing Down,Closing Down,
Azure Large Instance for Epic v1.1,Offer Coverage,,,,,,,,,,,,,,,,,,,,,,Closing Down,,,,,,,,,,,,,,,,,,,,,,,,,,Closing Down,,,,,,,,,,,,,,,,,,,,Closing Down,
Azure Large Instances,Offer Coverage,,,,,,,,,,,,,,,,,,,,,,Closing Down,,,,,,,,,,,,,,,,,,,,,,,,,,Closing Down,,,,,,,,,,,,,,,,,,,,Closing Down,
Azure Large Instances,Bare Metal Infrastructure,,,,,,,,,,,,,,,,,,,,,,GA,GA,,,,,GA,,,,,,,,,,,,,GA,,,,,,,GA,,,,,,,,,,,,,,,,,GA,,,GA,
Azure Lighthouse,Offer Coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azure Load Balancer,Offer Coverage,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Azure Load Balancer,Basic,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,,Closing Down,Closing Down,Closing Down,,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,,Closing Down,Closing Down,,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down
Azure Load Balancer,Standard,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Azure Local,Offer Coverage,,,GA,,,,,,GA,,GA,,,,GA,,,,GA,,,GA,,,,,,,,,,GA,,,,,,,,,,,,,,,,GA,,GA,,,,,,,,,,,,,GA,,GA,,,,
Azure Local,disconnected operations,,,GA,,,,,,,,,,,,,,,,,,,,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,GA,,,,,,,,,GA,,,,GA,,GA,,,,
Azure Managed Applications,Offer Coverage,GA,GA,GA,GA,,,GA,,GA,GA,GA,GA,,GA,GA,,GA,GA,,,GA,GA,GA,,GA,GA,,,,,,GA,GA,GA,GA,,,,,GA,GA,,,,,,,GA,GA,GA,,,,,,,,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,
Azure Managed Lustre (AMLFS),Offer Coverage,,,GA,,,,GA,,GA,,GA,GA,,,,,,,,,,GA,GA,,GA,,,GA,GA,,GA,GA,GA,GA,GA,GA,GA,,,GA,GA,GA,,,,GA,,GA,,GA,GA,GA,,,,,,GA,GA,,,,GA,,GA,,GA,GA,GA
Azure Maps,Offer Coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azure Migrate,Offer Coverage,,,GA,GA,,,GA,,GA,,GA,GA,,,,,,GA,,GA,GA,GA,,,GA,,,GA,GA,,,GA,GA,GA,GA,,GA,GA,,,GA,GA,,GA,GA,GA,,,GA,GA,GA,GA,,GA,GA,,,GA,GA,GA,GA,,GA,GA,GA,,,GA,
Azure Monitor,Offer Coverage,GA,GA,GA,GA,,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Azure Monitor,Application Insights,GA,GA,GA,GA,,,GA,GA,GA,GA,GA,GA,GA,,GA,GA,,,GA,,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,,GA,GA,GA
Azure Monitor,Azure Monitor Managed Service for Prometheus,GA,GA,GA,GA,,,GA,GA,GA,GA,GA,GA,GA,,,GA,,,GA,,GA,GA,GA,,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,,GA,GA,GA,GA,,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,,GA,GA,GA
Azure Monitor,Azure Monitor pipeline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Preview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azure Monitor,Azure Monitor SCOM Managed Instance,,,Closing Down,,,,,,Closing Down,,,,,,,,,,,,,Closing Down,Closing Down,,,,,Closing Down,,,Closing Down,,,,,,,,,,Closing Down,,,,,,,,,Closing Down,,Closing Down,,,,,,,Closing Down,,,,,,Closing Down,,Closing Down,Closing Down,Closing Down
Azure Monitor,Log Analytics,GA,GA,GA,GA,,,GA,GA,GA,GA,GA,GA,GA,,GA,GA,,,GA,,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA
Azure Monitor for SAP Solutions,Offer Coverage,GA,,GA,GA,,,GA,,GA,,GA,GA,,,,,,,,,GA,GA,GA,,,,,GA,,,GA,,,,,,,,,GA,GA,,,,,,,GA,,GA,,GA,,,,,,,GA,,,,,GA,GA,,GA,GA,GA
Azure Monitor Grafana,Offer Coverage,,,GA,,,,GA,,GA,,GA,GA,,,,,,,,,,,GA,,GA,,,,,,,,GA,,,,,,,,,,,,,,,,,GA,,,,GA,,,,GA,GA,,,,,GA,,,,GA,
Azure NetApp Files,Offer Coverage,GA,GA,GA,GA,,,GA,GA,GA,GA,GA,GA,,,,,,,,,GA,GA,GA,,GA,,GA,GA,,GA,GA,GA,GA,GA,GA,,,,,GA,GA,GA,GA,,GA,GA,,GA,GA,GA,GA,GA,,GA,GA,,GA,GA,GA,GA,GA,GA,GA,,GA,,GA,GA,GA
Azure NetApp Files,Backup and Restore,GA,GA,GA,GA,,,GA,GA,GA,GA,GA,GA,,,,,,,,,GA,GA,GA,,GA,,GA,GA,,GA,GA,GA,GA,GA,GA,,,,,GA,GA,GA,GA,,GA,GA,,GA,GA,GA,GA,GA,,GA,GA,,GA,GA,GA,,,,,,GA,,,GA,GA
Azure Operator Service Manager,Offer Coverage,,,GA,,,,,,GA,,,,,,,,,,,,,GA,,,,,,,,,,,,,,,,,,,GA,,,,,,,GA,,GA,,,,,,,,GA,GA,,,,,GA,GA,,GA,,GA
Azure Payment HSM,Offer Coverage,,,GA,GA,,,,,,,,GA,,,,,,,,,,GA,,,,,,,,,,,,,,,,,,,GA,,,,,,,GA,,,,,,,,,,,,,,,,,GA,,GA,,
Azure Performance Diagnostics,Offer Coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azure Policy,Offer Coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azure Private Link,Offer Coverage,GA,GA,GA,GA,,,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,,,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA
Azure Quantum,Offer Coverage,,,,,,,,,,,,,,,,,,,,,,Preview,,,,,,,,,,,,,,,,,,,Preview,,,,,,,,,,,,,,,,,,,,,,,,Preview,,Preview,,
Azure Red Hat OpenShift (ARO),Offer Coverage,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,,,,,,,,,GA,GA,GA,,GA,,,GA,GA,,GA,GA,GA,GA,,GA,GA,GA,,GA,GA,GA,GA,,GA,GA,,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA
Azure Resource Graph,Offer Coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azure Resource Manager,Offer Coverage,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Azure Route Server,Offer Coverage,GA,GA,GA,GA,,,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,,GA,GA,GA,GA,GA,GA,GA,GA,,,GA,GA,,GA,GA,GA,,GA,,GA,GA,GA,GA,GA,GA,GA,,GA,,GA,,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA
Azure Service Manager (RDFE),Offer Coverage,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Azure SignalR Service,Offer Coverage,,,GA,GA,,,GA,,GA,GA,GA,GA,,,GA,GA,,GA,GA,,GA,GA,GA,,GA,,,GA,,,GA,GA,GA,GA,,,,,,GA,GA,GA,,GA,GA,GA,,GA,GA,GA,GA,GA,,GA,GA,GA,,GA,GA,GA,GA,,GA,GA,GA,,GA,GA,GA
Azure Signup Portal,Offer Coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azure Sphere,Offer Coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Closing Down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azure Spring Apps,Offer Coverage,,,Closing Down,Closing Down,,,Closing Down,,Closing Down,Closing Down,Closing Down,Closing Down,,,Closing Down,,,Closing Down,Closing Down,,Closing Down,Closing Down,Closing Down,,Closing Down,,,Closing Down,,,Closing Down,Closing Down,,Closing Down,,,,,,Closing Down,Closing Down,,,,,Closing Down,,Closing Down,,Closing Down,,Closing Down,,Closing Down,,,,Closing Down,Closing Down,Closing Down,,,,,Closing Down,,Closing Down,Closing Down,Closing Down
Azure Spring Apps,Basic,,,Closing Down,Closing Down,,,Closing Down,,Closing Down,Closing Down,Closing Down,Closing Down,,,Closing Down,,,Closing Down,Closing Down,,Closing Down,Closing Down,Closing Down,,Closing Down,,,Closing Down,,,Closing Down,Closing Down,,Closing Down,,,,,,Closing Down,Closing Down,,,,,Closing Down,,Closing Down,,Closing Down,,Closing Down,,Closing Down,,,,Closing Down,Closing Down,Closing Down,,,,,Closing Down,,Closing Down,Closing Down,Closing Down
Azure Spring Apps,Enterprise,,,Closing Down,Closing Down,,,Closing Down,,Closing Down,Closing Down,,Closing Down,,,Closing Down,,,,,,Closing Down,Closing Down,Closing Down,,,,,,,,Closing Down,Closing Down,,,,,,,,,Closing Down,,,,,,,Closing Down,,Closing Down,,Closing Down,,,,,,,Closing Down,Closing Down,,,,,Closing Down,,,Closing Down,Closing Down
Azure Spring Apps,Standard,,,Closing Down,Closing Down,,,Closing Down,,Closing Down,Closing Down,,Closing Down,,,Closing Down,,,Closing Down,Closing Down,,Closing Down,Closing Down,Closing Down,,,,,,,,Closing Down,Closing Down,,,,,,,,,Closing Down,,,,,,,Closing Down,,Closing Down,,Closing Down,,,,,,,Closing Down,Closing Down,,,,,Closing Down,,,Closing Down,Closing Down
Azure Spring Apps,Standard Gen2,,,Closing Down,,,,,,,,,Closing Down,,,,,,,,,Closing Down,Closing Down,Closing Down,,,,,,,,,,,,,,,,,,Closing Down,,,,,,,Closing Down,,,,,,,,,,,Closing Down,,,,,,Closing Down,,Closing Down,,Closing Down
Azure SQL Database,Offer Coverage,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Azure SQL Managed Instance,Offer Coverage,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,,GA,GA,,GA,GA,,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Azure Stack,Offer Coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azure Stack,Azure Stack Hub Ruggedized,,,,,,,,,,,,,,,,,,,,,,GA,,,,,,,,,,,,,,,,,,,,,,,,,,GA,,,,,,,,,,,,,GA,,GA,,,,,GA,GA
Azure Stack Edge,Offer Coverage,,,GA,,,,GA,,GA,,GA,,,,,,,,,,,GA,,,GA,,,GA,,,,GA,,GA,,,,,,,,GA,GA,,,GA,,,,GA,,GA,,GA,,,,GA,GA,,GA,,GA,,GA,,,GA,
Azure Stack Edge,Azure Data Box Gateway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azure Stack Edge,Azure Stack Edge,,,GA,,,,GA,,GA,,GA,GA,,,,,,,,,GA,GA,GA,,GA,GA,,GA,,,,GA,,GA,,,,,,GA,GA,GA,,,,GA,,GA,,GA,,GA,,GA,,,,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,
Azure Stack Edge,Azure Stack Edge Pro 2,GA,GA,GA,GA,,,,,GA,GA,,GA,,,,,,,,,GA,GA,GA,,GA,GA,GA,GA,,,,GA,GA,GA,GA,,,,,GA,GA,GA,GA,,,,,GA,,GA,,GA,GA,GA,GA,,GA,GA,GA,GA,,,,GA,GA,,GA,GA,
Azure Stack Edge,Azure Stack Edge Ruggedized,,,,,,,,,,,,GA,,,,,,,,,,GA,GA,,,,,,,,,,,,,,,,,GA,,,,,,,,GA,,,,,,,,,,,,,GA,GA,GA,,GA,,GA,GA,
Azure Storage Actions,Offer Coverage,,,,,,,,,Preview,,,,,,,,,,,,,Preview,,,Preview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azure Storage Mover,Offer Coverage,,,,,,,,,,,,,,,,,,,,,,GA,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GA
Azure Stream Analytics,Offer Coverage,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,,,,,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Azure Stream Analytics,Stream Analytics Dedicated,GA,GA,GA,GA,,,GA,GA,GA,GA,GA,GA,,,GA,GA,,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,,,,,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Azure Synapse Analytics,Offer Coverage,GA,GA,GA,GA,,,GA,,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,,GA,GA,GA,,GA,GA,,GA,GA,GA,,GA,GA,GA,GA,,,,,GA,GA,GA,,GA,GA,GA,,GA,GA,GA,,GA,,GA,GA,,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Azure Update Manager,Offer Coverage,GA,GA,GA,GA,,,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,,GA,GA,GA,,GA,GA,GA,GA,,,GA,GA,GA,GA,GA,,,,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Azure Usage Billing,Offer Coverage,,,GA,,,,,,,,,,,,,,,,,,,GA,GA,,,,,,,,,,,,,,,,,,GA,,,,,,,GA,,GA,,,,,,,,,GA,,,,,,GA,,,GA,
Azure Virtual Desktop,Offer Coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azure Virtual Network Manager,Offer Coverage,GA,GA,GA,GA,,,GA,GA,GA,GA,GA,GA,,,GA,GA,,GA,GA,,GA,GA,GA,,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,,,,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Azure VM Image Builder,Offer Coverage,,,GA,,,,GA,,GA,,GA,GA,,,,,,,GA,GA,GA,GA,GA,,GA,,,GA,GA,,GA,GA,,GA,,,,GA,,GA,GA,GA,,GA,GA,GA,,GA,,GA,GA,GA,,GA,,GA,,GA,GA,,GA,,GA,GA,GA,,GA,GA,GA
Azure VMware Solution,Offer Coverage,,,GA,GA,,,GA,,GA,GA,GA,GA,,,,,,,,,GA,GA,GA,,GA,,,GA,,,GA,GA,GA,,,,,,,GA,GA,,,,GA,GA,,GA,,GA,,GA,,GA,GA,,,GA,GA,GA,GA,,GA,,GA,,GA,GA,GA
Azure VMware Solution,Azure VMware Solution: AV36 SKU,,,Closing Down,Closing Down,,,Closing Down,,Closing Down,Closing Down,,Closing Down,,,,,,,,,Closing Down,Closing Down,Closing Down,,Closing Down,,,Closing Down,,,,Closing Down,Closing Down,,,,,,,Closing Down,Closing Down,,,,,Closing Down,,Closing Down,,Closing Down,,Closing Down,,Closing Down,Closing Down,,,,Closing Down,Closing Down,,,Closing Down,,Closing Down,,Closing Down,,
Azure VMware Solution,Azure VMware Solution: AV36P SKU,,,Closing Down,,,,,,Closing Down,,Closing Down,Closing Down,,,,,,,,,Closing Down,Closing Down,Closing Down,,,,,Closing Down,,,Closing Down,,,,,,,,,Closing Down,,,,,Closing Down,,,Closing Down,,Closing Down,,,,Closing Down,,,,Closing Down,Closing Down,,Closing Down,,,,Closing Down,,Closing Down,Closing Down,Closing Down
Azure VMware Solution,Azure VMware Solution: AV48 SKU,,,,,,,,,,,,,,,,,,,,,,,,,,,,GA,,,,GA,,GA,,,,,,,,,,,,GA,,,,,GA,GA,,,,,,GA,,,,,,,,,,,
